model,dataset,variant,split,i2t_R1,i2t_R5,i2t_R10,t2i_R1,t2i_R5,t2i_R10,mean_R1,mean_R5,mean_R10,img_enc_s,img_per_sec,itm_rerank_s,total_s,train_samples,lr,effective_batch,epochs_completed,best_epoch,best_val_mean_R1,early_stopped
CLIP,Flickr30K,zero-shot,karpathy_test,85.20,97.40,99.10,64.92,87.28,92.02,75.06,92.34,95.56,4.0,251.8,-,5,-,-,-,-,-,-,-
BLIP-2,Flickr30K,zero-shot,karpathy_test,96.80,99.90,100.00,86.30,96.84,98.38,91.55,98.37,99.19,17.1,58.5,4230,4247,-,-,-,-,-,-,-
CLIP,AI2D,zero-shot,test,7.74,24.19,33.55,9.35,29.35,40.65,8.55,26.77,37.10,2.6,119.4,-,3,-,-,-,-,-,-,-
BLIP-2,AI2D,zero-shot,test,9.35,23.23,34.19,11.94,29.03,40.65,10.65,26.13,37.42,12.0,25.8,689,701,-,-,-,-,-,-,-
CLIP,AI2D,fine-tuned,test,16.45,37.10,47.74,17.42,41.61,51.94,16.94,39.35,49.84,3.4,92.0,-,3,2470,1e-06,32,13,7,16.72,True
BLIP-2,AI2D,fine-tuned,test,16.45,39.03,52.90,15.48,40.32,52.90,15.97,39.68,52.90,7.8,39.6,1543,1551,2470,2e-05,8,11,6,18.18,True
CLIP,SciCap,zero-shot,test,21.60,33.10,39.30,21.70,34.80,41.20,21.65,33.95,40.25,13.1,76.5,-,13,-,-,-,-,-,-,-
BLIP-2,SciCap,zero-shot,test,22.70,31.20,35.00,29.90,39.90,44.90,26.30,35.55,39.95,11.7,85.6,1977,1988,-,-,-,-,-,-,-
CLIP,SciCap,fine-tuned,test,34.30,50.40,58.00,33.60,50.70,58.20,33.95,50.55,58.10,9.6,104.5,-,10,45000,1e-06,32,8,2,35.05,True
BLIP-2,SciCap,fine-tuned,test,29.50,41.30,46.40,30.50,43.10,49.10,30.00,42.20,47.75,27.2,36.7,5167,5195,45000,1e-05,64,19,14,32.80,True
